artist,song,album,label,year,isrc,position,spin_id,playlist_id,show,date,playlist_url
Boy Girl Boy Girl,(i want to haunt you) in your dreams,Double Date,Spinout Records,2004,USHM90583651,13,422865543,21142383,WDSE 1033 The North,"Aug 27, 2025",https://spinitron.com/WDSE/pl/21142383/
The Shackletons,Minnesota Girls,Second Attempt,The Shackletons,2017,TCADA1718543,14,422865741,21142383,WDSE 1033 The North,"Aug 27, 2025",https://spinitron.com/WDSE/pl/21142383/
Gully Boys,Mother,Mother,Smartpunk Records,2025,QZ5F42500044,15,422866147,21142383,WDSE 1033 The North,"Aug 27, 2025",https://spinitron.com/WDSE/pl/21142383/
Gild,Get On Down,Satellite Images,spinout records,2001,USHM20774267,16,422866441,21142383,WDSE 1033 The North,"Aug 27, 2025",https://spinitron.com/WDSE/pl/21142383/
Brother Ali,Handwriting,Satisfied Soul EP,Mello Music Group,2024,USA2B2404871,17,422866739,21142383,WDSE 1033 The North,"Aug 27, 2025",https://spinitron.com/WDSE/pl/21142383/
Boss Mama & the Jebberhooch,Hallway Watcher,Greetings From the Barnyard Lounge,Boss Mama & the Jebberhooch,2024,USDY42457839,18,422867170,21142383,WDSE 1033 The North,"Aug 27, 2025",https://spinitron.com/WDSE/pl/21142383/
Prince Paul and the Conscious Party,Nowhere To Go But Up,One Drop in the Water,MTGFC Productions,2024,QZFYY2420114,19,422867453,21142383,WDSE 1033 The North,"Aug 27, 2025",https://spinitron.com/WDSE/pl/21142383/
Maygen & The Birdwatcher,Feel Good,Feel Good,Missing Piece Records,2025,QM6P42520459,20,422868196,21142383,WDSE 1033 The North,"Aug 27, 2025",https://spinitron.com/WDSE/pl/21142383/
Kazyak,Hand Me Down,Hand Me Down,Kazyak,2021,USTVZ2100003,21,422868425,21142383,WDSE 1033 The North,"Aug 27, 2025",https://spinitron.com/WDSE/pl/21142383/
Dana Thompson,Untrue/ I Don't Care,Ox,Dana Thompson,2004,USHM90758393,22,422868735,21142383,WDSE 1033 The North,"Aug 27, 2025",https://spinitron.com/WDSE/pl/21142383/
